ID,Name,PartID01(눈),PartID02(눈동자),PartID03(눈썹),PartID04(입),PartID05(문신)
000,얼굴01,005,015,025,032,
001,얼굴02,005,015,026,033,034
002,얼굴03,005,015,027,032,
003,얼굴04,005,015,028,033,034
004,얼굴05,005,015,029,032,
005,얼굴06,005,015,025,033,034
006,얼굴07,006,016,025,032,
007,얼굴08,006,016,026,033,034
008,얼굴09,006,016,027,032,
009,얼굴10,006,016,028,033,034
010,얼굴11,006,016,029,032,
011,얼굴12,006,016,025,033,034
012,얼굴13,007,017,025,032,
013,얼굴14,007,017,026,033,034
014,얼굴15,007,017,027,032,
015,얼굴16,007,017,028,033,034
016,얼굴17,007,017,029,032,
017,얼굴18,007,017,025,033,034
018,얼굴19,008,018,025,032,
019,얼굴20,008,018,026,033,034
020,얼굴21,008,018,027,032,
021,얼굴22,008,018,028,033,034
022,얼굴23,008,018,029,032,
023,얼굴24,008,018,025,033,034
024,얼굴25,009,019,025,032,
025,얼굴26,009,019,026,033,034
026,얼굴27,009,019,027,032,
027,얼굴28,009,019,028,033,034
028,얼굴29,009,019,029,032,
029,얼굴30,009,019,025,033,034
