ID,Name,PartID01(상의),PartID02(상의_컷),PartID03(하의1),PartID04(하의2),PartID05(신발),PartID06(손),PartID07(전신),PartID08(전신_컷)
000,의상01,006,007,010,,013,,,
001,의상02,044,045,010,,013,,,
002,의상03,036,037,011,012,013,,,
003,의상04,048,049,011,012,013,,,
004,의상05,040,041,010,,013,,,
005,의상06,052,053,010,,013,,,
006,의상07,062,063,011,012,013,,,
007,의상08,068,069,011,012,013,,,
008,의상09,064,065,,012,013,,,
009,야구의상,084,085,011,,013,,,
010,알로하의상1,086,087,010,,013,,,
011,알로하의상2,088,089,010,,013,,,
012,알로하의상3,090,091,010,,013,,,
013,러시가드,,,,,,,092,093
014,수영팬티01,,,,,,,094,095
015,수영팬티02,,,,,,,096,097
