ID,Name,Part,Path_1 (Mesh),Path_2 (Material)
000,남자상의01_1,0_upper,Mesh_M_UPPER_01,Mat_M_UPPER_01_1
001,남자상의01_1(CUT),1_upper_cut,Mesh_M_UPPER_01_CUT,Mat_M_UPPER_01_1_CUT
002,남자상의02_1,0_upper,Mesh_M_UPPER_02,Mat_M_UPPER_02_1
003,남자상의02_1(CUT),1_upper_cut,Mesh_M_UPPER_02_CUT,Mat_M_UPPER_02_1_CUT
004,남자바지01,2_lower,Mesh_M_LOWER_01,Mat_M_LOWER_01
005,남자신발01,4_foot,Mesh_M_SHOOES,Mat_A_SHOES_01
006,여자상의01_1,0_upper,Mesh_F_SHIRT_01,Mat_F_UPPER_01_1
007,여자상의01_1(CUT),1_upper_cut,Mesh_F_SHIRT_01_CUT,Mat_F_UPPER_01_1_CUT
008,여자상의02_1,0_upper,Mesh_F_SHIRT_02,Mat_F_UPPER_02_1
009,여자상의02_1(CUT),1_upper_cut,Mesh_F_SHIRT_02_CUT,Mat_F_UPPER_02_1_CUT
010,여자바지01,2_lower,Mesh_F_PANT_01,Mat_F_LOWER_01
011,스커트01,2_lower,Mesh_SKIRT_01,Mat_F_LOWER_02
012,스커트속바지01,3_lower_sub,Mesh_SKIRT_PANT_01,Mat_F_PANT
013,여자신발01,4_foot,Mesh_F_SHOES_01,Mat_A_SHOES_01
014,남자상의01_2,0_upper,Mesh_M_UPPER_01,Mat_M_UPPER_01_2
015,남자상의01_2(CUT),1_upper_cut,Mesh_M_UPPER_01_CUT,Mat_M_UPPER_01_2_CUT
016,남자상의01_3,0_upper,Mesh_M_UPPER_01,Mat_M_UPPER_01_3
017,남자상의01_3(CUT),1_upper_cut,Mesh_M_UPPER_01_CUT,Mat_M_UPPER_01_3_CUT
018,남자상의01_4,0_upper,Mesh_M_UPPER_01,Mat_M_UPPER_01_4
019,남자상의01_4(CUT),1_upper_cut,Mesh_M_UPPER_01_CUT,Mat_M_UPPER_01_4_CUT
020,남자상의01_5,0_upper,Mesh_M_UPPER_01,Mat_M_UPPER_01_5
021,남자상의01_5(CUT),1_upper_cut,Mesh_M_UPPER_01_CUT,Mat_M_UPPER_01_5_CUT
022,남자상의01_6,0_upper,Mesh_M_UPPER_01,Mat_M_UPPER_01_6
023,남자상의01_6(CUT),1_upper_cut,Mesh_M_UPPER_01_CUT,Mat_M_UPPER_01_6_CUT
024,남자상의02_2,0_upper,Mesh_M_UPPER_02,Mat_M_UPPER_02_2
025,남자상의02_2(CUT),1_upper_cut,Mesh_M_UPPER_02_CUT,Mat_M_UPPER_02_2_CUT
026,남자상의02_3,0_upper,Mesh_M_UPPER_02,Mat_M_UPPER_02_3
027,남자상의02_3(CUT),1_upper_cut,Mesh_M_UPPER_02_CUT,Mat_M_UPPER_02_3_CUT
028,남자상의02_4,0_upper,Mesh_M_UPPER_02,Mat_M_UPPER_02_4
029,남자상의02_4(CUT),1_upper_cut,Mesh_M_UPPER_02_CUT,Mat_M_UPPER_02_4_CUT
030,남자상의02_5,0_upper,Mesh_M_UPPER_02,Mat_M_UPPER_02_5
031,남자상의02_5(CUT),1_upper_cut,Mesh_M_UPPER_02_CUT,Mat_M_UPPER_02_5_CUT
032,남자상의02_6,0_upper,Mesh_M_UPPER_02,Mat_M_UPPER_02_6
033,남자상의02_6(CUT),1_upper_cut,Mesh_M_UPPER_02_CUT,Mat_M_UPPER_02_6_CUT
034,여자상의01_2,0_upper,Mesh_F_SHIRT_01,Mat_F_UPPER_01_2
035,여자상의01_2(CUT),1_upper_cut,Mesh_F_SHIRT_01_CUT,Mat_F_UPPER_01_2_CUT
036,여자상의01_3,0_upper,Mesh_F_SHIRT_01,Mat_F_UPPER_01_3
037,여자상의01_3(CUT),1_upper_cut,Mesh_F_SHIRT_01_CUT,Mat_F_UPPER_01_3_CUT
038,여자상의01_4,0_upper,Mesh_F_SHIRT_01,Mat_F_UPPER_01_4
039,여자상의01_4(CUT),1_upper_cut,Mesh_F_SHIRT_01_CUT,Mat_F_UPPER_01_4_CUT
040,여자상의01_5,0_upper,Mesh_F_SHIRT_01,Mat_F_UPPER_01_5
041,여자상의01_5(CUT),1_upper_cut,Mesh_F_SHIRT_01_CUT,Mat_F_UPPER_01_5_CUT
042,여자상의01_6,0_upper,Mesh_F_SHIRT_01,Mat_F_UPPER_01_6
043,여자상의01_6(CUT),1_upper_cut,Mesh_F_SHIRT_01_CUT,Mat_F_UPPER_01_6_CUT
044,여자상의02_2,0_upper,Mesh_F_SHIRT_02,Mat_F_UPPER_02_2
045,여자상의02_2(CUT),1_upper_cut,Mesh_F_SHIRT_02_CUT,Mat_F_UPPER_02_2_CUT
046,여자상의02_3,0_upper,Mesh_F_SHIRT_02,Mat_F_UPPER_02_3
047,여자상의02_3(CUT),1_upper_cut,Mesh_F_SHIRT_02_CUT,Mat_F_UPPER_02_3_CUT
048,여자상의02_4,0_upper,Mesh_F_SHIRT_02,Mat_F_UPPER_02_4
049,여자상의02_4(CUT),1_upper_cut,Mesh_F_SHIRT_02_CUT,Mat_F_UPPER_02_4_CUT
050,여자상의02_5,0_upper,Mesh_F_SHIRT_02,Mat_F_UPPER_02_5
051,여자상의02_5(CUT),1_upper_cut,Mesh_F_SHIRT_02_CUT,Mat_F_UPPER_02_5_CUT
052,여자상의02_6,0_upper,Mesh_F_SHIRT_02,Mat_F_UPPER_02_6
053,여자상의02_6(CUT),1_upper_cut,Mesh_F_SHIRT_02_CUT,Mat_F_UPPER_02_6_CUT
054,남자상의01_7,0_upper,Mesh_M_UPPER_01,Mat_M_UPPER_01_7
055,남자상의01_7(CUT),1_upper_cut,Mesh_M_UPPER_01_CUT,Mat_M_UPPER_01_7_CUT
056,남자상의01_8,0_upper,Mesh_M_UPPER_01,Mat_M_UPPER_01_8
057,남자상의01_8(CUT),1_upper_cut,Mesh_M_UPPER_01_CUT,Mat_M_UPPER_01_8_CUT
058,남자상의02_7,0_upper,Mesh_M_UPPER_02,Mat_M_UPPER_02_7
059,남자상의02_7(CUT),1_upper_cut,Mesh_M_UPPER_02_CUT,Mat_M_UPPER_02_7_CUT
