[2023-11-06 18:56:56.010] [pxr_streamer] [info] ***********  Log Begin **********
[2023-11-06 18:56:56.010] [pxr_streamer] [info] process id= 19128
[2023-11-06 18:56:56.010] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x2fdc0280
[2023-11-06 18:56:56.011] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x2fdc0280
[2023-11-06 18:56:56.011] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x2fdc0280
[2023-11-06 18:56:59.042] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x2fdc0280
[2023-11-06 18:57:02.100] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x2fdc0280
[2023-11-06 18:57:05.116] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x2fdc0280
[2023-11-06 18:57:08.159] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x2fdc0280
[2023-11-06 18:57:11.203] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x2fdc0280
[2023-11-06 18:57:14.257] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x2fdc0280
[2023-11-06 18:57:17.287] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x2fdc0280
[2023-11-06 18:57:20.308] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x2fdc0280
